v8-version,5,8,283,38,0
code-creation,Builtin,5,0x1efae67c4b80,134,"CallSitePrototypeIsConstructor"
code-creation,Builtin,5,0x1efae67c4c20,134,"CallSitePrototypeIsEval"
code-creation,Builtin,5,0x1efae67c4cc0,134,"CallSitePrototypeIsNative"
code-creation,Builtin,5,0x1efae67c4d60,134,"CallSitePrototypeIsToplevel"
code-creation,Builtin,5,0x1efae67c4e00,134,"CallSitePrototypeToString"
code-creation,Builtin,5,0x1efae67c4ea0,134,"DataViewConstructor"
code-creation,Builtin,5,0x1efae67c4f40,134,"DataViewConstructor_ConstructStub"
code-creation,Builtin,5,0x1efae67c4fe0,134,"DataViewPrototypeGetBuffer"
code-creation,Builtin,5,0x1efae67c5080,134,"DataViewPrototypeGetByteLength"
code-creation,Builtin,5,0x1efae67c5120,134,"DataViewPrototypeGetByteOffset"
code-creation,Builtin,5,0x1efae67c51c0,134,"DataViewPrototypeGetInt8"
code-creation,Builtin,5,0x1efae67c5260,134,"DataViewPrototypeSetInt8"
code-creation,Builtin,5,0x1efae67c5300,134,"DataViewPrototypeGetUint8"
code-creation,Builtin,5,0x1efae67c53a0,134,"DataViewPrototypeSetUint8"
code-creation,Builtin,5,0x1efae67c5440,134,"DataViewPrototypeGetInt16"
code-creation,Builtin,5,0x1efae67c54e0,134,"DataViewPrototypeSetInt16"
code-creation,Builtin,5,0x1efae67c5580,134,"DataViewPrototypeGetUint16"
code-creation,Builtin,5,0x1efae67c5620,134,"DataViewPrototypeSetUint16"
code-creation,Builtin,5,0x1efae67c56c0,134,"DataViewPrototypeGetInt32"
code-creation,Builtin,5,0x1efae67c5760,134,"DataViewPrototypeSetInt32"
code-creation,Builtin,5,0x1efae67c5800,134,"DataViewPrototypeGetUint32"
code-creation,Builtin,5,0x1efae67c58a0,134,"DataViewPrototypeSetUint32"
code-creation,Builtin,5,0x1efae67c5940,134,"DataViewPrototypeGetFloat32"
code-creation,Builtin,5,0x1efae67c59e0,134,"DataViewPrototypeSetFloat32"
code-creation,Builtin,5,0x1efae67c5a80,134,"DataViewPrototypeGetFloat64"
code-creation,Builtin,5,0x1efae67c5b20,134,"DataViewPrototypeSetFloat64"
code-creation,Builtin,5,0x1efae67c5bc0,134,"DateConstructor"
code-creation,Builtin,5,0x1efae67c5c60,134,"DateConstructor_ConstructStub"
code-creation,Builtin,5,0x1efae67c5d00,243,"DatePrototypeGetDate"
code-creation,Builtin,5,0x1efae67c5e00,243,"DatePrototypeGetDay"
code-creation,Builtin,5,0x1efae67c5f00,243,"DatePrototypeGetFullYear"
