v8-version,5,1,281,59,0
code-creation,Stub,15,0x2b515b215ac0,284,"BinaryOpICStub(MOD:Smi*2048->Smi)"
code-creation,Stub,3,0x2b515b215be0,2392,"RecordWriteStub"
code-creation,Stub,4,0x2b515b216540,348,"StoreFastElementStub"
code-creation,Stub,3,0x2b515b2166a0,2406,"RecordWriteStub"
code-creation,Stub,3,0x2b515b217020,188,"DoubleToIStub"
code-creation,Stub,4,0x2b515b2170e0,915,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b217480,332,"StoreFastElementStub"
code-creation,Stub,3,0x2b515b2175e0,188,"DoubleToIStub"
code-creation,Stub,4,0x2b515b2176a0,927,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b217a40,328,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b217ba0,911,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b217f40,348,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b2180a0,931,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b218460,348,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b2185c0,931,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b218980,328,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b218ae0,923,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b218e80,328,"StoreFastElementStub"
code-creation,Stub,4,0x2b515b218fe0,923,"StoreFastElementStub"
code-creation,Stub,3,0x2b515b219380,652,"TypeofStub"
code-creation,Stub,3,0x2b515b219620,385,"JSEntryStub"
code-creation,Stub,3,0x2b515b2197c0,385,"JSConstructEntryStub"
code-creation,Builtin,5,0x2b515b219960,119,"Illegal"
code-creation,Builtin,5,0x2b515b2199e0,119,"EmptyFunction"
code-creation,Builtin,5,0x2b515b219a60,119,"ArrayConcat"
code-creation,Builtin,5,0x2b515b219ae0,119,"ArrayIsArray"
code-creation,Builtin,5,0x2b515b219b60,119,"ArrayPop"
code-creation,Builtin,5,0x2b515b219be0,119,"ArrayPush"
code-creation,Builtin,5,0x2b515b219c60,119,"ArrayShift"
code-creation,Builtin,5,0x2b515b219ce0,119,"ArraySlice"
code-creation,Builtin,5,0x2b515b219d60,119,"ArraySplice"
code-creation,Builtin,5,0x2b515b219de0,119,"ArrayUnshift"
code-creation,Builtin,5,0x2b515b219e60,124,"ArrayBufferConstructor"
code-creation,Builtin,5,0x2b515b219ee0,125,"ArrayBufferConstructor_ConstructStub"
code-creation,Builtin,5,0x2b515b219f60,119,"ArrayBufferIsView"
code-creation,Builtin,5,0x2b515b219fe0,119,"BooleanConstructor"
code-creation,Builtin,5,0x2b515b21a060,125,"BooleanConstructor_ConstructStub"
code-creation,Builtin,5,0x2b515b21a0e0,119,"BooleanPrototypeToString"
code-creation,Builtin,5,0x2b515b21a160,119,"BooleanPrototypeValueOf"
code-creation,Builtin,5,0x2b515b21a1e0,119,"DataViewConstructor"
code-creation,Builtin,5,0x2b515b21a260,125,"DataViewConstructor_ConstructStub"
code-creation,Builtin,5,0x2b515b21a2e0,119,"DateConstructor"
code-creation,Builtin,5,0x2b515b21a360,125,"DateConstructor_ConstructStub"
code-creation,Builtin,5,0x2b515b21a3e0,119,"DateNow"
code-creation,Builtin,5,0x2b515b21a460,119,"DateParse"
code-creation,Builtin,5,0x2b515b21a4e0,119,"DateUTC"
code-creation,Builtin,5,0x2b515b21a560,119,"DatePrototypeSetDate"
code-creation,Builtin,5,0x2b515b21a5e0,119,"DatePrototypeSetFullYear"
code-creation,Builtin,5,0x2b515b21a660,119,"DatePrototypeSetHours"
code-creation,Builtin,5,0x2b515b21a6e0,119,"DatePrototypeSetMilliseconds"
code-creation,Builtin,5,0x2b515b21a760,119,"DatePrototypeSetMinutes"
code-creation,Builtin,5,0x2b515b21a7e0,119,"DatePrototypeSetMonth"
code-creation,Builtin,5,0x2b515b21a860,119,"DatePrototypeSetSeconds"
code-creation,Builtin,5,0x2b515b21a8e0,119,"DatePrototypeSetTime"
code-creation,Builtin,5,0x2b515b21a960,119,"DatePrototypeSetUTCDate"
code-creation,Builtin,5,0x2b515b21a9e0,119,"DatePrototypeSetUTCFullYear"
code-creation,Builtin,5,0x2b515b21aa60,119,"DatePrototypeSetUTCHours"
code-creation,Builtin,5,0x2b515b21aae0,119,"DatePrototypeSetUTCMilliseconds"
code-creation,Builtin,5,0x2b515b21ab60,119,"DatePrototypeSetUTCMinutes"
code-creation,Builtin,5,0x2b515b21abe0,119,"DatePrototypeSetUTCMonth"
code-creation,Builtin,5,0x2b515b21ac60,119,"DatePrototypeSetUTCSeconds"
code-creation,Builtin,5,0x2b515b21ace0,119,"DatePrototypeToDateString"
code-creation,Builtin,5,0x2b515b21ad60,119,"DatePrototypeToISOString"
code-creation,Builtin,5,0x2b515b21ade0,119,"DatePrototypeToPrimitive"
code-creation,Builtin,5,0x2b515b21ae60,119,"DatePrototypeToUTCString"
code-creation,Builtin,5,0x2b515b21aee0,119,"DatePrototypeToString"
